codigo_curso;Código_da_IES;Sigla_da_IES;Nome_daIES;Categoria_Administrativa;Organização_Acadêmica;Situaçao_da_IES;Sinalização_da_IES;Código_do_Curso;Nome_do_Curso;Grau;Modalidade;Situação_do_Curso;Qt._Vagas_Autorizadas;Carga_Horária;Tipo_de_Periodicidade;Integralização_-_Turno_Integral;Quantitativo_de_Vagas_-_Integral;Integralização_-_Turno_Matutino;Quantitativo_de_Vagas_-_Matutino;Integralização_-_Turno_Vespertino;Quantitativo_de_Vagas_-_Vespertino;Integralização_-_Turno_Noturno;Quantitativo_de_Vagas_-_Noturno;Sinalização_do_Curso;Código_do_Endereço;Nome_do_Campus;Endereço;Número_Endereço;Complemento;Bairro;Código_do_Município;Município;UF;Início_Funcionamento;Data_Ato_de_Criação;Valor_CC;Ano_CC;CPC_Faixa;CPC_Contínuo;CPC_Ano;Valor_IDD;IDD_Ano;Valor_ENADE;ENADE_Ano;Código_Rótulo_CINE;Rótulo_CINE;Código_Área_Detalhada_CINE;Área_Detalhada_CINE;Código_Área_Específica_CINE;Área_Específica_CINE;Código_Área_Geral_CINE;Área_Geral_CINE
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;1420186;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;180;3200;Semestral;;;8.00 Semestres;90;;;8.00 Semestres;90;;1082210;Unidade Santo Amaro;Av. Alexandre Dumas;2016;Unidade Santo Amaro;Chácara Santo Antônio (Zona Sul);3550308;São Paulo;SP;26/03/2021;17/08/2017;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;254;UNI-BAN;CENTRO UNIVERSITÁRIO UNI-BAN;Privada com fins lucrativos;Centro Universitário;Ativa;Unificação de Mantidas;1516261;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;100;3200;Semestral;;;8.00 Semestres;40;8.00 semestres;30;8.00 Semestres;30;;1105209;Nova Sede UNI-BAN;Rua Maria Cândida;1789;Nova Sede UNI-BAN;Vila Guilherme;3550308;São Paulo;SP;10/02/2020;25/09/2019;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;322;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;Ativa;;1155950;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;230;3000;Semestral;;;;;;;8.0 Semestres;230;;2645;Campus IX- Pinheiros;Rua Pe. Carvalho;566;;Pinheiros;3550308;São Paulo;SP;10/02/2009;;;;3;269;2017;3;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;546;PUCSP;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;Privada sem fins lucrativos;Universidade;Ativa;;11238;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;50;3200;Semestral;;;8.00 Semestres;50;;;;;;1794;Campus Consolação (Marquês de Paranaguá);Rua Marquês de Paranaguá;111;;Consolação;3550308;São Paulo;SP;01/01/1986;27/03/1985;;;3;250;2017;2;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;10323;BANDTEC;FACULDADE DE TECNOLOGIA BANDEIRANTES;Privada com fins lucrativos;Faculdade;Ativa;;1366232;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;50;3880;Anual;4.00 Anos;50;;;;;;;;1080141;Unidade II Paulista;Rua Haddock Lobo;595;Unidade II Paulista;Cerqueira César;3550308;São Paulo;SP;27/01/2020;01/10/2018;4;2017;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;1420185;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;180;3200;Semestral;;;8.00 Semestres;90;;;8.00 Semestres;90;;1082211;Paulista;Avenida Angélica;2563;Paulista;Bela Vista;3550308;São Paulo;SP;01/02/2018;17/08/2017;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;458;UNIB;UNIVERSIDADE IBIRAPUERA;Privada sem fins lucrativos;Universidade;Ativa;;88772;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;240;3205;Semestral;;;8.00 Semestres;80;;;8.00 Semestres;160;;3507;Unidade sede - Chácara Flora;Avenida Interlagos;1.329;;Jardim Marajoara;3550308;São Paulo;SP;05/02/2000;12/12/2000;4;2018;3;250;2017;3;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;1420191;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;180;3200;Semestral;;;8.00 Semestres;90;;;8.00 Semestres;90;;1083604;Unidade Jabaquara;Avenida Jabaquara;1.870;Unidade Jabaquara;Mirandópolis;3550308;São Paulo;SP;17/03/2021;19/10/2017;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;322;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;Ativa;;69825;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;230;3000;Semestral;;;;;;;8.0 Semestres;230;;2642;CIDADE UNIVERSITÁRIA;Avenida Torres de Oliveira;330;;Jaguaré;3550308;São Paulo;SP;14/02/2001;;;;3;261;2017;3;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;466;UAM;UNIVERSIDADE ANHEMBI MORUMBI;Privada com fins lucrativos;Universidade;Ativa;;19505;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;150;3303;Semestral;;;;;;;8.00 Semestres;150;;707833;CAMPUS VILA OLIMPIA;Rua Casa do Ator;294;Nºs 275 e 294;Vila Olímpia;3550308;São Paulo;SP;09/02/1998;27/11/1997;5;2007;4;325;2017;3;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;95489;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;270;3920;Semestral;;;8.0 Semestres;90;;;8.0 Semestres;180;;7609;Unidade Butantã;Avenida Vital Brasil;1000;Unidade Butantã;Butantã;3550308;São Paulo;SP;05/02/2007;20/06/2006;;;4;316;2017;4;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;55;USP;UNIVERSIDADE DE SÃO PAULO;Pública Estadual;Universidade;Ativa;;2883;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;60;3285;Semestral;;;8.0 Semestres;60;;;;;;1075940;Instituto de Matemática e Estatística - IME;Rua do Matão;1010;Instituto de Matemática e Estatística - IME;Butantã;3550308;São Paulo;SP;01/01/1972;27/02/1984;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;1100;UniDrummond;Centro Universitário Carlos Drummond de Andrade;Privada sem fins lucrativos;Centro Universitário;Ativa;;47603;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;225;3280;Semestral;;;8.0 Semestres;75;;;8.0 Semestres;150;;132230;Unidade Sede;Rua Prof. Pedreira de Freitas;415;;Tatuapé;3550308;São Paulo;SP;05/02/2002;19/02/2001;3;2005;3;268;2017;3;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;376;;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;Privada com fins lucrativos;Centro Universitário;Ativa;;1376347;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;50;3200;Semestral;;;;;;;8.00 Semestres;50;;1056226;Vila Mariana;Rua Afonso Celso;235;Vila Mariana;Vila Mariana;3550308;São Paulo;SP;20/02/2017;20/06/2016;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;5485;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;360;3920;Semestral;;;8.0 Semestres;90;;;8.0 Semestres;270;;657779;UNIDADE SEDE;Rua Taquari;546;;Mooca;3550308;São Paulo;SP;19/02/1990;17/09/1989;4;2005;4;307;2017;3;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;221;UNICSUL;UNIVERSIDADE CRUZEIRO DO SUL;Privada com fins lucrativos;Universidade;Ativa;;5841;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;210;3200;Semestral;;;8.00 Semestres;90;;;8.00 Semestres;120;;657790;POLO SP_SAO MIGUEL PAULISTA (SEDE);Avenida Doutor Ussiel Cirilo;225;Vila Jacuí;São Miguel;3550308;São Paulo;SP;06/02/1995;22/12/1993;;;3;282;2017;3;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;322;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;Ativa;;1357708;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;230;3200;Semestral;;;;;;;8.00 Semestres;230;;2644;Campus VIII - Paulista;Avenida Paulista;900;;Bela Vista;3550308;São Paulo;SP;15/02/2016;20/06/2013;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;456;UNISANT'ANNA;CENTRO UNIVERSITÁRIO SANT´ANNA;Privada sem fins lucrativos;Centro Universitário;Ativa;;21712;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;112;3200;Semestral;;;8.00 Semestres;50;;;8.00 Semestres;62;;657908;CAMPUS  - SÃO PAULO - SANTANA;Rua Voluntários da Pátria;257;CAMPUS  - SÃO PAULO - SANTANA;Santana;3550308;São Paulo;SP;09/08/1999;21/07/1999;3;2013;0;;2014;2;2008;0;2014;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;1853;;Centro Universitário UNIBTA;Privada com fins lucrativos;Centro Universitário;Ativa;;109276;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;250;3200;Semestral;;;8.0 Semestres;70;;;8.0 Semestres;180;;1082239;Centro Universitário UNIBTA;Rua Cubatão;726;Centro Universitário UNIBTA;Vila Mariana;3550308;São Paulo;SP;31/01/2008;17/01/2008;4;2013;2;175;2017;3;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;22;MACKENZIE;UNIVERSIDADE PRESBITERIANA MACKENZIE;Privada sem fins lucrativos;Universidade;Ativa;;18974;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;240;3264;Semestral;;;8.0 Semestres;100;;;8.0 Semestres;100;;657684;CAMPUS  - SÃO PAULO - CONSOLAÇÃO;Rua da Consolação;896;Campus São Paulo;Consolação;3550308;São Paulo;SP;14/09/1994;11/03/1992;;;3;288;2017;3;2017;4;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;1294;CAM;Centro Universitário das Américas;Privada com fins lucrativos;Centro Universitário;Ativa;;1515691;CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;320;4208;Semestral;;;8.00 Semestres;160;;;8.00 Semestres;160;;1070193;Campus Mooca;Rua Borges de Figueiredo;510;- até 599/600;Mooca;3550308;São Paulo;SP;17/02/2020;01/11/2019;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;1294;CAM;Centro Universitário das Américas;Privada com fins lucrativos;Centro Universitário;Ativa;;1258024;CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;320;4208;Semestral;;;8.00 Semestres;160;;;8.00 Semestres;160;;1055967;Rua Augusta;Rua Augusta;1520;1508 a;Consolação;3550308;São Paulo;SP;15/02/2016;05/10/2015;4;2015;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;376;;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;Privada com fins lucrativos;Centro Universitário;Ativa;;1403868;CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;110;3200;Semestral;;;8.00 Semestres;50;;;8.00 Semestres;60;;1056207;MARTE;Avenida Braz Leme;3029;MARTE;Santana;3550308;São Paulo;SP;26/02/2018;01/06/2017;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;1420110;CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;180;3200;Semestral;;;;;;;8.0 Semestres;1;;1082210;Unidade Santo Amaro;Av. Alexandre Dumas;2016;Unidade Santo Amaro;Chácara Santo Antônio (Zona Sul);3550308;São Paulo;SP;Não iniciado;17/08/2017;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;221;UNICSUL;UNIVERSIDADE CRUZEIRO DO SUL;Privada com fins lucrativos;Universidade;Ativa;;1497517;CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;200;3200;Semestral;;;8.00 Semestres;100;;;8.00 Semestres;100;;1107467;Campus Santo Amaro;Av. das Nações Unidas;18605;Anexo Parte;Vila Almeida;3550308;São Paulo;SP;03/02/2020;06/08/2019;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;1473929;CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;80;3000;Semestral;;;8.0 Semestres;40;;;8.0 Semestres;40;;1097321;Unidade Santana;Rua Voluntários da Pátria;2624;- de 2622 a 2898 - lado par;Santana;3550308;São Paulo;SP;22/03/2019;14/03/2019;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;466;UAM;UNIVERSIDADE ANHEMBI MORUMBI;Privada com fins lucrativos;Universidade;Ativa;;1165300;CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;140;3303;Semestral;;;;;;;8.00 Semestres;60;;1055963;CAMPUS PAULISTA II;Rua Treze de Maio;1266;;Bela Vista;3550308;São Paulo;SP;01/02/2012;01/08/2011;5;2015;4;369;2017;4;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;1420122;CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;180;3000;Semestral;;;;;;;8.0 Semestres;180;;1082211;Paulista;Avenida Angélica;2563;Paulista;Bela Vista;3550308;São Paulo;SP;03/09/2019;17/08/2017;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;206;UNIÍTALO;CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO;Privada sem fins lucrativos;Centro Universitário;Ativa;;1520797;CIÊNCIAS DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;100;6400;Semestral;;;8.00 Semestres;50;;;8.00 Semestres;50;;1043954;Sede - Santo Amaro;Avenida João Dias;2046;;Santo Amaro;3550308;São Paulo;SP;Não iniciado;11/03/2020;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
